location	Delaware_New York	42.1982	-74.9664
location	Genesee_New York	43.001	-78.1936
location	Hamilton_New York	43.6611	-74.4974
location	Lewis_New York	43.7847	-75.4488
location	Livingston_New York	42.728	-77.7754
location	Madison_New York	42.9129	-75.6697
location	Montgomery_New York	42.9023	-74.4397
location	Onondaga_New York	43.0058	-76.1946
location	Ontario_New York	42.8529	-77.2998
location	Orange_New York	41.4022	-74.3056
location	Otsego_New York	42.6338	-75.0326
location	Putnam_New York	41.4267	-73.7495
location	Rockland_New York	41.1529	-74.0241
location	Schoharie_New York	42.5882	-74.4421
location	Schuyler_New York	42.3938	-76.8752
location	Seneca_New York	42.781	-76.8237
location	Steuben_New York	42.2678	-77.3838
location	Sullivan_New York	41.7164	-74.7681
location	Tioga_New York	42.1703	-76.3063
location	Tompkins_New York	42.452	-76.4737
location	Wyoming_New York	42.7023	-78.2245
location	Adams_Pennsylvania	39.8715	-77.2179
location	Allegheny_Pennsylvania	40.4688	-79.9812
location	Armstrong_Pennsylvania	40.8125	-79.4645
location	Beaver_Pennsylvania	40.6823	-80.3493
location	Bedford_Pennsylvania	40.0066	-78.4902
location	Blair_Pennsylvania	40.4813	-78.3486
location	Bradford_Pennsylvania	41.7886	-76.5157
location	Butler_Pennsylvania	40.9117	-79.913
location	Cambria_Pennsylvania	40.4954	-78.7136
location	Cameron_Pennsylvania	41.4368	-78.2038
location	Clarion_Pennsylvania	41.1925	-79.421
location	Clearfield_Pennsylvania	41.0002	-78.4741
location	Columbia_Pennsylvania	41.0486	-76.4052
location	Crawford_Pennsylvania	41.6848	-80.1063
location	Cumberland_Pennsylvania	40.1637	-77.2651
location	Dauphin_Pennsylvania	40.4155	-76.7793
location	Elk_Pennsylvania	41.4252	-78.6492
location	Forest_Pennsylvania	41.5132	-79.2361
location	Franklin_Pennsylvania	39.9275	-77.7212
location	Fulton_Pennsylvania	39.9255	-78.1124
location	Greene_Pennsylvania	39.8538	-80.2229
location	Huntingdon_Pennsylvania	40.417	-77.9812
location	Indiana_Pennsylvania	40.6521	-79.0875
location	Jefferson_Pennsylvania	41.1281	-78.9995
location	Juniata_Pennsylvania	40.5311	-77.402
location	Lackawanna_Pennsylvania	41.437	-75.6092
location	Lancaster_Pennsylvania	40.0424	-76.2477
location	Lawrence_Pennsylvania	40.9912	-80.3342
location	Lebanon_Pennsylvania	40.3672	-76.4577
location	Luzerne_Pennsylvania	41.1771	-75.9889
location	McKean_Pennsylvania	41.8078	-78.569
location	Mercer_Pennsylvania	41.3022	-80.2577
location	Mifflin_Pennsylvania	40.6104	-77.6171
location	Montour_Pennsylvania	41.028	-76.6586
location	Perry_Pennsylvania	40.3984	-77.2622
location	Pike_Pennsylvania	41.3321	-75.0338
location	Potter_Pennsylvania	41.745	-77.8958
location	Schuylkill_Pennsylvania	40.7059	-76.216
location	Snyder_Pennsylvania	40.77	-77.0701
location	Somerset_Pennsylvania	39.9725	-79.0283
location	Sullivan_Pennsylvania	41.446	-76.5119
location	Susquehanna_Pennsylvania	41.8214	-75.8008
location	Tioga_Pennsylvania	41.7721	-77.2543
location	Union_Pennsylvania	40.963	-77.0621
location	Venango_Pennsylvania	41.401	-79.758
location	Warren_Pennsylvania	41.8147	-79.2741
location	Washington_Pennsylvania	40.1894	-80.2482
location	Wyoming_Pennsylvania	41.5184	-76.0165
location	York_Pennsylvania	39.9199	-76.7265
location	Newport_Rhode Island	41.556	-71.2366
location	Patrick_Virginia	36.6784	-80.2843
location	Pittsylvania_Virginia	36.8213	-79.3971
location	Pulaski_Virginia	37.0636	-80.7143
location	Roanoke_Virginia	37.2693	-80.0679
location	Rockbridge_Virginia	37.8146	-79.4475
location	Russell_Virginia	36.9338	-82.0956
location	Scott_Virginia	36.7142	-82.603
location	Smyth_Virginia	36.8439	-81.537
location	Tazewell_Virginia	37.125	-81.5606
location	Washington_Virginia	36.7245	-81.9596
location	Wise_Virginia	36.9752	-82.6212
location	Wythe_Virginia	36.9171	-81.0786
location	Alleghany_Virginia	37.7876	-80.007
location	Carroll_Virginia	36.7316	-80.7339
location	Campbell_Virginia	37.2056	-79.0963
location	Henry_Virginia	36.6828	-79.8739
location	Montgomery_Virginia	37.174	-80.3869
location	Halifax_Virginia	36.767	-78.9367
location	Grayson_Virginia	36.6566	-81.225
location	Giles_Virginia	37.3141	-80.7037
location	Franklin_Virginia	36.9919	-79.881
location	Floyd_Virginia	36.9315	-80.3626
location	Dickenson_Virginia	37.1258	-82.3503
location	Craig_Virginia	37.4813	-80.2123
location	Charlotte_Virginia	37.0116	-78.6616
location	Buckingham_Virginia	37.5722	-78.5287
location	Buchanan_Virginia	37.2666	-82.036
location	Botetourt_Virginia	37.5571	-79.8123
location	Bland_Virginia	37.134	-81.1302
location	Bedford_Virginia	37.3152	-79.5242
location	Bath_Virginia	38.0587	-79.7411
location	Appomattox_Virginia	37.3722	-78.8121
location	Amherst_Virginia	37.6048	-79.1451
location	Lee_Virginia	36.7055	-83.1285
location	Lamoille_Vermont	44.6057	-72.6414
location	Orange_Vermont	44.0056	-72.3769
location	Bennington_Vermont	43.0355	-73.0929
location	Orleans_Vermont	44.8288	-72.2438
location	Washington_Vermont	44.2734	-72.6149
location	Grand Isle_Vermont	44.7968	-73.2948
location	Raleigh_West Virginia	37.7714	-81.2486
location	Putnam_West Virginia	38.5086	-81.909
location	Preston_West Virginia	39.4693	-79.6681
location	Pocahontas_West Virginia	38.3318	-80.0077
location	Pleasants_West Virginia	39.3709	-81.1606
location	Ohio_West Virginia	40.0969	-80.6189
location	Nicholas_West Virginia	38.2917	-80.7993
location	Monroe_West Virginia	37.5604	-80.5505
location	Monongalia_West Virginia	39.6303	-80.0465
location	Mingo_West Virginia	37.7264	-82.1346
location	Mercer_West Virginia	37.4055	-81.1114
location	Mason_West Virginia	38.7697	-82.0265
location	Marshall_West Virginia	39.8606	-80.6634
location	Marion_West Virginia	39.51	-80.2434
location	McDowell_West Virginia	37.3785	-81.6536
location	Logan_West Virginia	37.8316	-81.9353
location	Lincoln_West Virginia	38.1753	-82.0705
location	Kanawha_West Virginia	38.3365	-81.5281
location	Jackson_West Virginia	38.8344	-81.6748
location	Hancock_West Virginia	40.5213	-80.5739
location	Greenbrier_West Virginia	37.9469	-80.4529
location	Randolph_West Virginia	38.7748	-79.8758
location	Gilmer_West Virginia	38.9241	-80.8571
location	Fayette_West Virginia	38.0288	-81.0811
location	Clay_West Virginia	38.4626	-81.0751
location	Calhoun_West Virginia	38.8445	-81.1175
location	Cabell_West Virginia	38.4203	-82.2417
